Star,HD #,RA,DEC,Magn.,Sp. type,Tot. nb,1 year,2 months,Last,Obs Period
,,,,,,,,,,
2 Cet,225132,+00 03 44.4,-17 20 09.6,4.54,B9IVne,43,3,0,8/31/2024 7:29,365
10 Cas,144,+00 06 26.5,+64 11 46.2,5.57,B9IIIe,63,2,0,11/22/2024 20:54,365
omi Cas,4180,+00 44 43.5,+48 17 03.7,4.48,B5IIIe,104,3,0,10/31/2024 20:54,365
gam Cas,5394,+00 56 42.5,+60 43 00.3,2.47,B0IVpe,1471,38,13,1/31/2025 18:19,30
V442 And,6226,+01 03 53.4,+47 38 32.3,6.82,B2IVe,1271,34,8,1/31/2025 17:38,1
phi And,6811,+01 09 30.1,+47 14 30.5,4.25,B7Ve,272,4,1,12/12/2024 18:13,365
V764 Cas,7636,+01 17 26.3,+57 37 55.5,6.89,B2IIIne,49,3,0,10/23/2024 20:15,365
HD 9612,9612,+01 37 22.2,+74 18 03.4,6.59,B9Ve,29,1,0,8/21/2024 21:18,365
phi Per,10516,+01 43 39.6,+50 41 19.4,4.09,B2Vpe,186,1,0,8/20/2024 0:46,365
eps Cas,11415,+01 54 23.7,+63 40 12.4,3.34,B3IIIe,125,4,1,12/12/2024 16:45,365
tet Ari,14191,+02 18 07.5,+19 54 04.2,5.58,B9IVe,68,2,0,9/1/2024 6:33,365
HD 18552,18552,+03 00 11.9,+38 07 54.3,6.12,B8Vne,77,2,1,12/12/2024 19:33,365
V801 Cas,19243,+03 08 54.2,+62 23 04.5,6.5,B1Ve,59,2,0,11/28/2024 19:18,365
BK Cam,20336,+03 19 59.3,+65 39 08.3,4.73,B2.5Vne,83,3,0,11/28/2024 18:19,365
HD 21362,21362,+03 28 52.3,+49 50 54.2,5.58,B6Vne,54,1,0,12/8/2024 0:46,365
HD 21455,21455,+03 29 26.3,+46 56 16.3,6.23,B7Ve,46,2,0,11/3/2024 22:01,365
HD 21620,21620,+03 31 29.3,+49 12 35.2,6.28,A0Vne,36,1,0,11/3/2024 22:36,365
HD 21641,21641,+03 31 33.1,+47 51 44.7,6.77,B8.5Ve,31,1,0,11/3/2024 21:26,365
psi Per,22192,+03 36 29.4,+48 11 33.5,4.31,B5Ve,133,6,0,11/29/2024 19:08,365
HD 22780,22780,+03 41 07.9,+37 34 48.7,5.54,B7Vne,129,4,2,1/12/2025 19:23,90
13 Tau,23016,+03 42 18.9,+19 42 00.9,5.68,B9Vne,56,2,0,8/31/2024 8:09,365
ELECTRA,23302,+03 44 52.5,+24 06 48.0,3.71,B6IIIe,139,16,6,1/31/2025 19:15,1
MEROPE,23480,+03 46 19.6,+23 56 54.1,4.16,B6IVe,131,15,5,1/13/2025 19:16,1
ALCYONE,23630,+03 47 29.1,+24 06 18.5,2.87,B7IIIe,158,16,5,1/13/2025 17:47,1
HD 23552,23552,+03 48 18.1,+50 44 12.4,6.15,B8Vne,32,1,0,12/7/2024 22:02,365
PLEIONE,23862,+03 49 11.2,+24 08 12.2,5.05,B8IVev,1218,22,6,1/13/2025 20:04,1
HD 23800,23800,+03 50 25.1,+52 28 54.9,6.98,B1IVe,34,1,0,12/7/2024 19:48,365
HD 24479,24479,+03 57 25.4,+63 04 20.1,4.95,B9.5Ve,50,3,3,1/12/2025 18:43,365
Menkhib,24912,+03 58 57.9,+35 47 27.7,4.06,O7.5IIIe,187,5,0,11/30/2024 21:15,120
48 Per,25940,+04 08 39.7,+47 42 45.0,4,B3Ve,68,4,1,12/31/2024 20:02,365
HD 26398,26398,+04 11 03.4,+16 38 49.1,6.98,B8e,35,2,2,12/24/2024 0:21,365
228 Eri,28497,+04 29 06.9,-13 02 54.1,5.59,B2Vne,31,2,0,9/1/2024 7:41,365
56 Eri,30076,+04 44 05.3,-08 30 12.8,5.78,B2Ve,39,2,0,9/1/2024 9:27,365
HD 29866,29866,+04 44 13.0,+40 47 11.2,6.1,B8IVne,51,1,0,11/21/2024 19:53,365
HD 30677,30677,+04 50 03.6,+08 24 28.2,6.84,B0IIIe,23,1,0,9/28/2024 5:45,365
