_RAJ2000,_DEJ2000,recno,TYC1,TYC2,TYC3,pmRA,pmDE,BTmag,VTmag,HIP,RA(ICRS),DE(ICRS)
89.8659318173,12.4693583828,147742,724,1468,1,16.0,-57.4,8.612,7.204,,89.86589472,12.46948833
89.8552746992,12.5421370883,147785,724,1828,1,-4.2,-13.8,12.816,11.511,,89.85528444,12.54216833
89.8419689311,12.6559488642,147810,724,2008,1,-1.3,-3.7,10.120,10.072,,89.84197194,12.65595722
89.8981494391,12.5107234997,147819,724,2087,1,1.2,-1.9,12.269,12.109,,89.89814667,12.51072778
89.8691033215,12.6646154167,147843,724,2292,1,3.5,-4.4,10.233,9.940,,89.86909528,12.66462528
89.9254305228,12.5928439433,147889,724,2691,1,1.9,-8.8,12.804,11.301,,89.92542611,12.59286389
90.3085005556,12.7132088519,147925,725,149,1,0.6,-4.7,12.174,10.928,,90.30849917,12.71321944
90.1547672947,12.6484360750,148064,725,751,1,7.5,-7.3,11.209,10.636,,90.15475000,12.64845250
90.2887650452,12.6927752228,148069,725,775,1,-7.0,-13.3,9.644,9.023,,90.28878111,12.69280500
90.0716007515,12.6114044669,148099,725,921,1,-1.0,-10.1,6.740,6.775,28433,90.07160306,12.61142722
90.1163869523,12.4804123506,148114,725,996,1,4.0,-2.3,12.383,12.329,,90.11637778,12.48041750
90.2054757588,12.5487651300,148126,725,1073,1,1.9,-1.8,12.375,10.165,,90.20547139,12.54876917
90.1283062334,12.7638943600,148150,725,1175,1,-3.8,-7.2,11.973,10.804,,90.12831500,12.76391056
90.1861324430,12.5348502483,148156,725,1201,1,1.8,-3.0,12.112,10.910,,90.18612833,12.53485694
90.2209937162,12.4131575811,148165,725,1244,1,2.1,-3.8,12.261,11.810,,90.22098889,12.41316611
90.3187179819,12.5455101350,148200,725,1421,1,-1.6,-1.3,13.486,11.835,,90.31872167,12.54551306
90.1739091025,12.4416437978,148218,725,1480,1,-1.6,-1.4,12.332,12.090,,90.17391278,12.44164694
